-18	0
-11	6
-8	3
5	37
1	31
-7	8
18	38
11	17
0	1
7	6
-4	29
-13	36
10	21
-6	17
-12	20
-1	13
-2	12
-20	30
-16	11
0	7
4	3
10	14
7	36
-5	24
-13	31
8	9
1	10
5	10
-15	36
-6	30
16	33
12	36
19	32
19	38
-17	12
7	19
-20	7
0	27
-8	15
-6	37
-5	39
-1	31
-10	4
3	6
18	21
-7	38
17	34
10	8
-20	7
16	35
1	25
19	6
1	13
10	13
-3	33
-3	19
5	31
-18	17
-1	9
-4	31
9	24
4	22
-3	0
-19	32
-18	24
-10	39
19	32
0	23
12	13
-12	9
4	26
-9	33
12	34
-9	31
-12	34
-16	38
-8	24
-20	1
19	7
-20	7
-6	38
-19	23
17	17
11	33
11	8
-12	37
-12	22
8	24
-6	4
13	19
-5	36
-18	18
-17	3
-13	2
-19	28
14	16
17	30
5	26
-9	29
-8	30
